id,use_case,size,prompt,expected_output_schema
INV-S-001,invoice_parsing,S,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

BluePeak Logistics
Invoice BP-8821
Date Issued: 2026-03-08
Due Date: 2026-04-08

Services rendered:
- Rotterdam port transfer: freight handling and dockside coordination for containerised cargo arriving from Hamburg. All documentation filed with Dutch customs authority on 2026-03-06.
- Refrigerated trucking: temperature-controlled road transport from Rotterdam port to cold-storage facility in Utrecht, covering 78 km. Vehicle compliant with ATP certification. Delivery confirmed 2026-03-09.
- Customs brokerage: preparation and submission of import declarations, HS code classification, and liaison with NVWA for phytosanitary clearance.

Subtotal: EUR 7,240.00
VAT 9%: EUR 651.60
Grand Total: EUR 7,891.60
Payment Status: Pending
Bank: ING NL — IBAN NL91INGB0001234567

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""total_amount"": ""number"", ""currency"": ""string""}"
INV-S-002,invoice_parsing,S,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Northwind Analytics BV
Invoice Number: INV-2026-1844
Invoice Date: 2026-04-12
Client: Solara Retail Group NV

Description of services:
Enterprise Reporting Subscription — annual licence for the Northwind BI platform covering unlimited dashboard users, scheduled PDF exports, and API data access up to 5M calls per month. Includes priority support with 4-hour SLA and dedicated customer success manager.

On-boarding session (4 hours): initial platform configuration, SSO integration with client's Azure Active Directory, and training workshop for 12 end users conducted remotely on 2026-04-03.

Subscription Fee (12 months): EUR 4,800.00
On-boarding: EUR 600.00
VAT 21%: EUR 1,134.00
Total Due: EUR 6,534.00
Currency: EUR
Payment Terms: 30 days net

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""total_amount"": ""number"", ""currency"": ""string""}"
INV-S-003,invoice_parsing,S,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Velaro Design Studio
Invoice: VDS-2026-0392
Issued: 2026-02-20
Client: Meridian Property Group

Project: Brand identity refresh — Phase 1
Scope delivered: logo redesign (3 concepts, 2 revision rounds), brand guidelines document (typography, colour palette, icon set), stationery suite (letterhead, business card, email signature), and social media asset pack (12 templates for LinkedIn and Instagram).

All files delivered as AI, PDF, PNG and SVG via shared Dropbox folder on 2026-02-18. Final sign-off received from client on 2026-02-19.

Design Fee: EUR 3,200.00
Printing coordination (outsourced): EUR 480.00
VAT 21%: EUR 763.20
Total: EUR 4,443.20
Payment Status: Unpaid
Due: 2026-03-22

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""total_amount"": ""number"", ""currency"": ""string""}"
INV-S-004,invoice_parsing,S,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

TechServ Solutions GmbH
Invoice No.: TS-20260115
Date: 2026-01-15
Bill To: Farrow & Linden Consulting

IT infrastructure maintenance — Q4 2025:
Monthly server monitoring and patching (3 servers, Oct–Dec 2025), helpdesk support (avg 22 tickets/month), network switch replacement at Amsterdam office (parts + labour), SSL certificate renewal for 4 domains, and annual backup integrity audit.

Server monitoring (3 months x EUR 420): EUR 1,260.00
Helpdesk support (3 months x EUR 380): EUR 1,140.00
Network switch (hardware + labour): EUR 890.00
SSL renewals: EUR 120.00
Backup audit: EUR 250.00
Subtotal: EUR 3,660.00
VAT 21%: EUR 768.60
Total: EUR 4,428.60
Payment due: 2026-02-15

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""total_amount"": ""number"", ""currency"": ""string""}"
INV-M-001,invoice_parsing,M,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Arctis Manufacturing BV
VAT: NL855321654B01
Houtlaan 14, 3016 DA Rotterdam, Netherlands
Contact: finance@arctis.nl

Invoice To:
Pemberton Industrial Supplies Ltd
Unit 4, Forge Road, Sheffield S9 2PH, United Kingdom
PO Reference: PEM-2026-00741

Invoice Number: ARC-INV-2026-0055
Invoice Date: 2026-03-01
Due Date: 2026-04-01
Payment Terms: Net 30
Currency: EUR

Line Items:
1. Stainless steel flanges DN50 PN16 (304 grade) — Qty 200 @ EUR 18.40 each = EUR 3,680.00
2. Stainless steel flanges DN80 PN16 (316L grade) — Qty 120 @ EUR 26.75 each = EUR 3,210.00
3. Hex bolts M16x80 A2 stainless, box of 50 — Qty 30 @ EUR 34.00 each = EUR 1,020.00
4. PTFE gaskets DN50, pack of 10 — Qty 40 @ EUR 12.50 each = EUR 500.00
5. PTFE gaskets DN80, pack of 10 — Qty 24 @ EUR 16.80 each = EUR 403.20
6. Freight (DAP Sheffield, via DHL Freight road) — EUR 320.00

Subtotal: EUR 9,133.20
Discount (2% early payment, if settled by 2026-03-15): EUR 182.66
Subtotal after discount: EUR 8,950.54
VAT 0% (intra-EU reverse charge, Art. 44 VAT Directive): EUR 0.00
Total Due: EUR 9,133.20 (EUR 8,950.54 if paid by 2026-03-15)
Payment Status: Unpaid
Bank: Rabobank — IBAN NL44RABO0123456789 — BIC RABONL2U

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""subtotal"": ""number"", ""tax"": ""number"", ""total_amount"": ""number"", ""currency"": ""string"", ""line_items"": [{""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""total"": ""number""}], ""payment_status"": ""string""}"
INV-M-002,invoice_parsing,M,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Luminos Creative Agency
Keizersgracht 210, 1016 DW Amsterdam
KVK: 72841965 | VAT: NL872841965B01
accounts@luminos.nl

Client: Apex Sports NV, Sportlaan 5, 2719 EK Zoetermeer
Invoice: LCA-2026-0178
Date: 2026-04-05
Due: 2026-05-05
PO: APX-MKT-2026-112

Scope: Q2 2026 campaign creative production

1. Campaign concept development (3 routes, client selected Route B) — 24 hrs @ EUR 115/hr = EUR 2,760.00
2. Video production — 30-second hero ad (pre-production, 1-day shoot, post-production, colour grade, 3 edit rounds) = EUR 8,400.00
3. Static ad suite — 18 formats for Meta, Google Display, and programmatic (retouching, resizing, adaptation) = EUR 2,100.00
4. Copywriting — campaign tagline, 6 ad headlines, 12 body copy variants (EN + NL) = EUR 960.00
5. Photography licensing — 3 athlete images, 12-month digital rights, EU territory = EUR 1,800.00
6. Project management (8 weeks) — EUR 640.00

Subtotal: EUR 16,660.00
VAT 21%: EUR 3,498.60
Total: EUR 20,158.60
Payment Status: Awaiting approval
Notes: Rush delivery surcharge waived as agreed in SOW amendment dated 2026-03-28.

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""subtotal"": ""number"", ""tax"": ""number"", ""total_amount"": ""number"", ""currency"": ""string"", ""line_items"": [{""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""total"": ""number""}], ""payment_status"": ""string""}"
INV-M-003,invoice_parsing,M,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Groenhart Facility Services BV
Industrieweg 88, 5301 KA Zaltbommel | VAT NL004567123B01
Invoice: GFS-2026-Q1-0034
Period: January – March 2026
Issued: 2026-04-02 | Due: 2026-05-02

Client: Deltacore Offices BV, Beatrixlaan 20, 2595 AL Den Haag

Services provided under maintenance contract MC-2024-017:

1. Office cleaning — 5 days/week, 3 floors, 13 weeks @ EUR 620/week = EUR 8,060.00
2. Window cleaning (external + internal, quarterly) — EUR 1,240.00
3. Sanitary supplies replenishment (paper products, soap, sanitiser) — EUR 387.50
4. HVAC filter replacement (4 units, Q1 scheduled maintenance) — EUR 560.00
5. Emergency call-out: water leak response 2026-02-14 (4 hrs + materials) — EUR 390.00
6. Pest control inspection (quarterly, 2 visits) — EUR 220.00
7. Waste collection coordination — confidential document shredding, 8 runs — EUR 264.00

Subtotal: EUR 11,121.50
VAT 21%: EUR 2,335.52
Total: EUR 13,457.02
Payment Status: Pending
Method: Bank transfer — IBAN NL29ABNA0123456789

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""subtotal"": ""number"", ""tax"": ""number"", ""total_amount"": ""number"", ""currency"": ""string"", ""line_items"": [{""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""total"": ""number""}], ""payment_status"": ""string""}"
INV-M-004,invoice_parsing,M,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

Solvera IT Consultancy
Bergweg 55, 3037 EG Rotterdam | KVK 68412390
billing@solvera.nl | +31 10 412 8800

Invoice To: Marengo Pharma BV, Science Park 402, 1098 XH Amsterdam
Invoice: SOL-2026-0221
Date: 2026-03-31 | Due: 2026-04-30
Reference: SOW-MPH-2026-04

Consulting services — March 2026:

1. Cloud migration assessment (AWS to Azure): architecture review, dependency mapping, risk register — 32 hrs @ EUR 145 = EUR 4,640.00
2. Azure landing zone design: network topology, identity (Entra ID), governance policies, naming conventions — 28 hrs @ EUR 145 = EUR 4,060.00
3. Proof-of-concept deployment (dev environment): ARM templates, CI/CD pipeline (Azure DevOps), monitoring (Azure Monitor + Log Analytics) — 40 hrs @ EUR 145 = EUR 5,800.00
4. Stakeholder workshop facilitation (2 sessions x 3 hrs) — 6 hrs @ EUR 160 = EUR 960.00
5. Technical documentation (architecture decision records, runbooks) — 16 hrs @ EUR 130 = EUR 2,080.00
6. Travel expenses (2 on-site visits Amsterdam) — EUR 186.00

Subtotal: EUR 17,726.00
VAT 21%: EUR 3,722.46
Total Due: EUR 21,448.46
Payment Status: Unpaid

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": ""string"", ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""subtotal"": ""number"", ""tax"": ""number"", ""total_amount"": ""number"", ""currency"": ""string"", ""line_items"": [{""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""total"": ""number""}], ""payment_status"": ""string""}"
INV-L-001,invoice_parsing,L,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

VENDOR:
Arctis Manufacturing BV
Houtlaan 14, 3016 DA Rotterdam, The Netherlands
VAT Registration: NL855321654B01
Chamber of Commerce: 24561890
Contact: Dirk van Houten, d.vanhouten@arctis.nl, +31 10 412 6600
Bank: Rabobank | IBAN NL44RABO0123456789 | BIC RABONL2U

BUYER:
Pemberton Industrial Supplies Ltd
Unit 4, Forge Road, Sheffield S9 2PH, United Kingdom
VAT: GB123456789
Contact: Sarah Briggs, s.briggs@pemberton.co.uk
Purchase Order: PEM-2026-00741 | Issued: 2026-02-10

INVOICE DETAILS:
Invoice Number: ARC-INV-2026-0055
Invoice Date: 2026-03-01
Due Date: 2026-04-01
Payment Terms: Net 30 days from invoice date
Currency: EUR

LINE ITEMS:
SKU ARC-FL-DN50-304 | Stainless steel flanges DN50 PN16 (304 grade) | Category: Pipe fittings | Qty 200 | Unit EUR 18.40 | Discount 0% | VAT 0% | Line total EUR 3,680.00
SKU ARC-FL-DN80-316L | Stainless steel flanges DN80 PN16 (316L grade) | Category: Pipe fittings | Qty 120 | Unit EUR 26.75 | Discount 2% | VAT 0% | Line total EUR 3,145.80
SKU ARC-BOLT-M16-A2 | Hex bolts M16x80 A2 stainless, box of 50 | Category: Fasteners | Qty 30 | Unit EUR 34.00 | Discount 0% | VAT 0% | Line total EUR 1,020.00
SKU ARC-PTFE-DN50 | PTFE gaskets DN50, pack of 10 | Category: Seals & gaskets | Qty 40 | Unit EUR 12.50 | Discount 0% | VAT 0% | Line total EUR 500.00
SKU ARC-PTFE-DN80 | PTFE gaskets DN80, pack of 10 | Category: Seals & gaskets | Qty 24 | Unit EUR 16.80 | Discount 0% | VAT 0% | Line total EUR 403.20
SKU ARC-FREIGHT-SHF | Freight DAP Sheffield via DHL road | Category: Logistics | Qty 1 | Unit EUR 320.00 | Discount 0% | VAT 0% | Line total EUR 320.00

FINANCIALS:
Subtotal: EUR 9,069.00
Discount total: EUR 64.50
Tax total: EUR 0.00 (intra-EU reverse charge Article 44 VAT Directive — buyer accounts for VAT)
Total Amount Due: EUR 9,069.00
Payment Status: Unpaid

NOTES:
Goods dispatched 2026-02-28 via DHL Freight, tracking DE4912837650. Estimated delivery Sheffield 2026-03-04. Certificate of conformity and material test reports (EN 10204 3.1) attached. Reverse charge applies — buyer to self-assess VAT under UK postponed accounting rules. Disputes to be raised within 14 days of invoice date.

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": {""name"": ""string"", ""address"": ""string"", ""vat_number"": ""string"", ""contact_email"": ""string""}, ""buyer"": {""name"": ""string"", ""address"": ""string"", ""purchase_order_number"": ""string""}, ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""payment_terms"": ""string"", ""currency"": ""string"", ""line_items"": [{""sku"": ""string"", ""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""discount_percent"": ""number"", ""tax_rate"": ""number"", ""total"": ""number""}], ""subtotal"": ""number"", ""discount_total"": ""number"", ""tax_total"": ""number"", ""total_amount"": ""number"", ""payment_status"": ""string"", ""notes"": ""string""}"
INV-L-002,invoice_parsing,L,"You are a data extraction API. Extract all key information from the following invoice and return it as JSON.

---

VENDOR:
Luminos Creative Agency
Keizersgracht 210, 1016 DW Amsterdam, Netherlands
KVK: 72841965 | VAT: NL872841965B01
Contact: Rosa Dijk, r.dijk@luminos.nl, +31 20 530 4400
Bank: ABN AMRO | IBAN NL91ABNA0417164300 | BIC ABNANL2A

BUYER:
Apex Sports NV
Sportlaan 5, 2719 EK Zoetermeer, Netherlands
VAT: NL004219876B01
Contact: Tim Hoekstra, t.hoekstra@apexsports.nl
Purchase Order: APX-MKT-2026-112 | Issued: 2026-03-15

INVOICE DETAILS:
Invoice Number: LCA-2026-0178
Invoice Date: 2026-04-05
Due Date: 2026-05-05
Payment Terms: Net 30
Currency: EUR

LINE ITEMS:
SKU LCA-CON-001 | Campaign concept development — 3 routes, 24 hrs | Category: Strategy | Qty 1 | Unit EUR 2,760.00 | Discount 0% | VAT 21% | Line total EUR 2,760.00
SKU LCA-VID-001 | Video production — 30s hero ad, full pipeline | Category: Production | Qty 1 | Unit EUR 8,400.00 | Discount 5% | VAT 21% | Line total EUR 7,980.00
SKU LCA-STA-018 | Static ad suite — 18 formats, Meta + Google + programmatic | Category: Design | Qty 1 | Unit EUR 2,100.00 | Discount 0% | VAT 21% | Line total EUR 2,100.00
SKU LCA-COPY-001 | Copywriting — taglines, headlines, body copy EN+NL | Category: Copy | Qty 1 | Unit EUR 960.00 | Discount 0% | VAT 21% | Line total EUR 960.00
SKU LCA-PHOTO-LIC | Photography licensing — 3 athletes, 12mo EU digital | Category: Licensing | Qty 1 | Unit EUR 1,800.00 | Discount 0% | VAT 21% | Line total EUR 1,800.00
SKU LCA-PM-001 | Project management — 8 weeks | Category: Management | Qty 1 | Unit EUR 640.00 | Discount 0% | VAT 21% | Line total EUR 640.00

FINANCIALS:
Subtotal: EUR 16,240.00
Discount total: EUR 420.00
Tax total (VAT 21%): EUR 3,410.40
Total Amount Due: EUR 19,650.40
Payment Status: Awaiting client approval

NOTES:
Rush delivery surcharge waived per SOW amendment 2026-03-28. All video deliverables provided as H.264 MP4 (master) and ProRes 422 (archive). Static assets delivered via WeTransfer link valid until 2026-05-05. Revisions beyond contracted rounds billed at EUR 115/hr. Client sign-off on Route B received via email 2026-03-22.

---

Return ONLY valid JSON matching the schema. No explanation, no markdown, no extra keys.","{""vendor"": {""name"": ""string"", ""address"": ""string"", ""vat_number"": ""string"", ""contact_email"": ""string""}, ""buyer"": {""name"": ""string"", ""address"": ""string"", ""purchase_order_number"": ""string""}, ""invoice_number"": ""string"", ""invoice_date"": ""string"", ""due_date"": ""string"", ""payment_terms"": ""string"", ""currency"": ""string"", ""line_items"": [{""sku"": ""string"", ""description"": ""string"", ""quantity"": ""number"", ""unit_price"": ""number"", ""discount_percent"": ""number"", ""tax_rate"": ""number"", ""total"": ""number""}], ""subtotal"": ""number"", ""discount_total"": ""number"", ""tax_total"": ""number"", ""total_amount"": ""number"", ""payment_status"": ""string"", ""notes"": ""string""}"
